"id","firstName","lastName","fullName","displayName","shortName","weight","displayWeight","height","displayHeight","age","dateOfBirth","experience","jersey","active"
"17100","Chad","Abram","Chad Abram","Chad Abram","C. Abram",229,"229 lbs",72,"6' 0""",33,"1991-05-22T07:00Z",NA,"44",FALSE
"3728305","Johnathan","Abram","Johnathan Abram","Johnathan Abram","J. Abram",205,"205 lbs",71,"5' 11""",28,"1996-10-25T07:00Z",6,"24",FALSE
"4569234","Keshunn","Abram","Keshunn Abram","Keshunn Abram","K. Abram",193,"193 lbs",74,"6' 2""",25,"1999-02-03T08:00Z",NA,"86",FALSE
"7177","Bobby","Abrams","Bobby Abrams","Bobby Abrams","B. Abrams",242,"242 lbs",75,"6' 3""",57,"1967-04-12T08:00Z",7,NA,FALSE
"4360643","Delrick","Abrams","Delrick Abrams","Delrick Abrams","D. Abrams",180,"180 lbs",75,"6' 3""",27,"1997-04-06T08:00Z",1,NA,FALSE
"1201","Kevin","Abrams","Kevin Abrams","Kevin Abrams","K. Abrams",170,"170 lbs",68,"5' 8""",50,"1974-02-28T07:00Z",3,"24",FALSE
"4429193","Kris","Abrams-Draine","Kris Abrams-Draine","Kris Abrams-Draine","K. Abrams-Draine",178,"178 lbs",71,"5' 11""",23,"2001-10-04T07:00Z",NA,"31",TRUE
"4429160","De'Von","Achane","De'Von Achane","De'Von Achane","D. Achane",188,"188 lbs",69,"5' 9""",23,"2001-10-13T07:00Z",2,"28",TRUE
"15045","Emmanuel","Acho","Emmanuel Acho","Emmanuel Acho","E. Acho",240,"240 lbs",74,"6' 2""",33,"1990-11-10T08:00Z",4,"51",FALSE
"14152","Sam","Acho","Sam Acho","Sam Acho","S. Acho",259,"259 lbs",75,"6' 3""",36,"1988-09-06T07:00Z",9,"96",FALSE
"3998259","D.D.","Acholonu","D.D. Acholonu","D.D. Acholonu","D.D. Acholonu",339,"339 lbs",74,"6' 2""",44,"1980-10-17T07:00Z",NA,NA,FALSE
"16914","Kenneth","Acker","Kenneth Acker","Kenneth Acker","K. Acker",195,"195 lbs",72,"6' 0""",32,"1992-02-06T08:00Z",5,"33",FALSE
"1028","Tom","Ackerman","Tom Ackerman","Tom Ackerman","T. Ackerman",295,"295 lbs",76,"6' 4""",52,"1972-09-06T07:00Z",8,"67",FALSE
"3121616","Jaelon","Acklin","Jaelon Acklin","Jaelon Acklin","J. Acklin",189,"189 lbs",73,"6' 1""",29,"1995-08-10T07:00Z",NA,"80",FALSE
"2515713","Corey","Acosta","Corey Acosta","Corey Acosta","C. Acosta",190,"190 lbs",72,"6' 0""",33,"1991-07-12T07:00Z",NA,"21",FALSE
"4035103","DeMarkus","Acy","DeMarkus Acy","DeMarkus Acy","D. Acy",195,"195 lbs",74,"6' 2""",26,"1998-04-29T07:00Z",1,"30",FALSE
"16296","Aaron","Adams","Aaron Adams","Aaron Adams","A. Adams",303,"303 lbs",77,"6' 5""",35,"1989-05-16T07:00Z",2,"74",FALSE
"2576599","Andrew","Adams","Andrew Adams","Andrew Adams","A. Adams",202,"202 lbs",71,"5' 11""",32,"1992-10-28T08:00Z",7,"37",FALSE
"4515","Anthony","Adams","Anthony Adams","Anthony Adams","A. Adams",310,"310 lbs",72,"6' 0""",44,"1980-06-18T07:00Z",9,"95",FALSE
"4678","Blue","Adams","Blue Adams","Blue Adams","B. Adams",187,"187 lbs",70,"5' 10""",45,"1979-10-15T07:00Z",5,NA,FALSE
"4447","Charlie","Adams","Charlie Adams","Charlie Adams","C. Adams",210,"210 lbs",74,"6' 2""",45,"1979-10-23T07:00Z",4,NA,FALSE
"14759","Darvin","Adams","Darvin Adams","Darvin Adams","D. Adams",195,"195 lbs",74,"6' 2""",34,"1990-01-05T08:00Z",2,"13",FALSE
"16800","Davante","Adams","Davante Adams","Davante Adams","D. Adams",215,"215 lbs",73,"6' 1""",31,"1992-12-24T08:00Z",11,"17",TRUE
"16961","DJ","Adams","DJ Adams","DJ Adams","D. Adams",210,"210 lbs",70,"5' 10""",34,"1990-09-27T07:00Z",NA,NA,FALSE
"3916468","Evan","Adams","Evan Adams","Evan Adams","E. Adams",347,"347 lbs",77,"6' 5""",27,"1997-04-25T07:00Z",NA,NA,FALSE
"1469","Flozell","Adams","Flozell Adams","Flozell Adams","F. Adams",338,"338 lbs",79,"6' 7""",49,"1975-05-18T07:00Z",13,"71",FALSE
"10449","Gaines","Adams","Gaines Adams","Gaines Adams","G. Adams",258,"258 lbs",77,"6' 5""",26,"1983-06-08T07:00Z",3,"99",FALSE
"16677","Harry","Adams","Harry Adams","Harry Adams","H. Adams",183,"183 lbs",72,"6' 0""",34,"1989-11-27T08:00Z",NA,NA,FALSE
"4077981","Haston","Adams","Haston Adams","Haston Adams","H. Adams",295,"295 lbs",77,"6' 5""",NA,NA,NA,NA,FALSE
"5084939","Isaiah","Adams","Isaiah Adams","Isaiah Adams","I. Adams",316,"316 lbs",76,"6' 4""",24,"2000-07-21T07:00Z",NA,"74",TRUE
"2971567","Ishmael","Adams","Ishmael Adams","Ishmael Adams","I. Adams",185,"185 lbs",68,"5' 8""",30,"1994-01-21T08:00Z",NA,NA,FALSE
"3115373","Jamal","Adams","Jamal Adams","Jamal Adams","J. Adams",213,"213 lbs",73,"6' 1""",29,"1995-10-17T07:00Z",7,"33",FALSE
"11911","Jamar","Adams","Jamar Adams","Jamar Adams","J. Adams",215,"215 lbs",74,"6' 2""",38,"1985-11-29T08:00Z",2,"45",FALSE
"15368","Jeff","Adams","Jeff Adams","Jeff Adams","J. Adams",305,"305 lbs",79,"6' 7""",35,"1989-09-06T07:00Z",3,"63",FALSE
"2978727","Jerell","Adams","Jerell Adams","Jerell Adams","J. Adams",256,"256 lbs",78,"6' 6""",31,"1992-12-31T08:00Z",3,"82",FALSE
"14917","Joe","Adams","Joe Adams","Joe Adams","J. Adams",185,"185 lbs",71,"5' 11""",34,"1989-11-22T08:00Z",2,"85",FALSE
"16489","Johnny","Adams","Johnny Adams","Johnny Adams","J. Adams",177,"177 lbs",71,"5' 11""",35,"1989-06-09T07:00Z",1,"25",FALSE
"4241053","Jonathan","Adams","Jonathan Adams","Jonathan Adams","J. Adams",220,"220 lbs",75,"6' 3""",25,"1999-01-21T08:00Z",NA,NA,FALSE
"3932420","Josh","Adams","Josh Adams","Josh Adams","J. Adams",225,"225 lbs",74,"6' 2""",28,"1996-10-29T08:00Z",4,"31",FALSE
"3042773","Keion","Adams","Keion Adams","Keion Adams","K. Adams",240,"240 lbs",74,"6' 2""",29,"1995-06-08T07:00Z",2,"45",FALSE
"2781","Keith","Adams","Keith Adams","Keith Adams","K. Adams",223,"223 lbs",71,"5' 11""",44,"1979-11-22T08:00Z",7,"59",FALSE
"15394","Kendrick","Adams","Kendrick Adams","Kendrick Adams","K. Adams",250,"250 lbs",77,"6' 5""",35,"1988-11-03T08:00Z",1,NA,FALSE
"14319","Kris","Adams","Kris Adams","Kris Adams","K. Adams",194,"194 lbs",75,"6' 3""",37,"1987-09-04T07:00Z",2,"89",FALSE
"14217","Kyle","Adams","Kyle Adams","Kyle Adams","K. Adams",250,"250 lbs",76,"6' 4""",36,"1988-01-19T08:00Z",3,"86",FALSE
"3126179","Matthew","Adams","Matthew Adams","Matthew Adams","M. Adams",230,"230 lbs",72,"6' 0""",28,"1995-12-12T08:00Z",7,"49",TRUE
"10847","Michael","Adams","Michael Adams","Michael Adams","M. Adams",181,"181 lbs",68,"5' 8""",39,"1985-06-17T07:00Z",7,"21",FALSE
"5893","Mike","Adams","Mike Adams","Mike Adams","M. Adams",205,"205 lbs",71,"5' 11""",43,"1981-03-24T08:00Z",16,"27",FALSE
"8133","Mike","Adams","Mike Adams","Mike Adams","M. Adams",323,"323 lbs",79,"6' 7""",34,"1990-03-10T08:00Z",5,"76",FALSE
"3051894","Montravius","Adams","Montravius Adams","Montravius Adams","M. Adams",304,"304 lbs",76,"6' 4""",29,"1995-07-24T07:00Z",8,"57",FALSE
"4039164","Myles","Adams","Myles Adams","Myles Adams","M. Adams",290,"290 lbs",74,"6' 2""",26,"1998-03-09T08:00Z",3,"95",TRUE
"2971402","Nelson","Adams","Nelson Adams","Nelson Adams","N. Adams",289,"289 lbs",75,"6' 3""",30,"1994-02-16T08:00Z",NA,"62",FALSE
"3122099","Paul","Adams","Paul Adams","Paul Adams","P. Adams",315,"315 lbs",78,"6' 6""",29,"1995-05-17T07:00Z",1,NA,FALSE
"13308","Phillip","Adams","Phillip Adams","Phillip Adams","P. Adams",195,"195 lbs",71,"5' 11""",36,"1988-07-20T07:00Z",6,"20",FALSE
"3059918","Rodney","Adams","Rodney Adams","Rodney Adams","R. Adams",189,"189 lbs",73,"6' 1""",30,"1994-09-15T07:00Z",2,NA,FALSE
"14863","Royce","Adams","Royce Adams","Royce Adams","R. Adams",190,"190 lbs",72,"6' 0""",36,"1988-05-03T07:00Z",2,"40",FALSE
"601","Sam","Adams","Sam Adams","Sam Adams","S. Adams",350,"350 lbs",75,"6' 3""",51,"1973-06-13T07:00Z",14,"95",FALSE
"7353","Scott","Adams","Scott Adams","Scott Adams","S. Adams",290,"290 lbs",77,"6' 5""",58,"1966-09-28T07:00Z",6,NA,FALSE
"9806","Titus","Adams","Titus Adams","Titus Adams","T. Adams",305,"305 lbs",76,"6' 4""",41,"1983-01-28T08:00Z",1,NA,FALSE
"3116734","Tony","Adams","Tony Adams","Tony Adams","T. Adams",312,"312 lbs",74,"6' 2""",28,"1995-12-28T08:00Z",1,"68",FALSE
"4240532","Tony","Adams","Tony Adams","Tony Adams","T. Adams",203,"203 lbs",71,"5' 11""",25,"1999-01-24T08:00Z",3,"22",TRUE
"3886808","Trey","Adams","Trey Adams","Trey Adams","T. Adams",311,"311 lbs",80,"6' 8""",27,"1997-03-04T08:00Z",NA,"72",TRUE
"4248067","Tyler","Adams","Tyler Adams","Tyler Adams","T. Adams",190,"190 lbs",72,"6' 0""",26,"1998-08-03T07:00Z",NA,"2",FALSE
"3895228","Tyrell","Adams","Tyrell Adams","Tyrell Adams","T. Adams",228,"228 lbs",74,"6' 2""",32,"1992-04-11T07:00Z",6,"55",FALSE
"916","Vashone","Adams","Vashone Adams","Vashone Adams","V. Adams",NA,NA,70,"5' 10""",51,"1973-09-12T07:00Z",4,NA,FALSE
"4261019","Will","Adams","Will Adams","Will Adams","W. Adams",192,"192 lbs",74,"6' 2""",26,"1998-03-13T08:00Z",NA,NA,FALSE
"15382","Levy","Adcock","Levy Adcock","Levy Adcock","L. Adcock",342,"342 lbs",78,"6' 6""",35,"1988-11-12T08:00Z",NA,NA,FALSE
"16039","Jahleel","Addae","Jahleel Addae","Jahleel Addae","J. Addae",195,"195 lbs",70,"5' 10""",34,"1990-01-24T08:00Z",9,"41",FALSE
"9616","Joseph","Addai","Joseph Addai","Joseph Addai","J. Addai",214,"214 lbs",71,"5' 11""",41,"1983-05-03T07:00Z",6,"29",FALSE
"3912028","Nasir","Adderley","Nasir Adderley","Nasir Adderley","N. Adderley",206,"206 lbs",72,"6' 0""",27,"1997-05-31T07:00Z",4,"24",TRUE
"4034729","Tucker","Addington","Tucker Addington","Tucker Addington","T. Addington",230,"230 lbs",74,"6' 2""",27,"1997-07-16T07:00Z",1,"46",FALSE
"2971271","Bralon","Addison","Bralon Addison","Bralon Addison","B. Addison",190,"190 lbs",70,"5' 10""",31,"1993-10-12T07:00Z",1,"89",FALSE
"4429205","Jordan","Addison","Jordan Addison","Jordan Addison","J. Addison",175,"175 lbs",71,"5' 11""",22,"2002-01-27T08:00Z",2,"3",TRUE
"14320","Mario","Addison","Mario Addison","Mario Addison","M. Addison",260,"260 lbs",75,"6' 3""",37,"1987-09-06T07:00Z",12,"97",FALSE
"4427635","Adetomiwa","Adebawore","Adetomiwa Adebawore","Adetomiwa Adebawore","A. Adebawore",282,"282 lbs",74,"6' 2""",23,"2001-03-04T08:00Z",2,"95",TRUE
"4242547","Paulson","Adebo","Paulson Adebo","Paulson Adebo","P. Adebo",192,"192 lbs",73,"6' 1""",25,"1999-07-03T07:00Z",4,"29",FALSE
"3051869","Quincy","Adeboyejo","Quincy Adeboyejo","Quincy Adeboyejo","Q. Adeboyejo",200,"200 lbs",75,"6' 3""",29,"1995-05-26T07:00Z",2,"19",FALSE
"4372754","Jayson","Ademilola","Jayson Ademilola","Jayson Ademilola","J. Ademilola",285,"285 lbs",75,"6' 3""",NA,NA,NA,NA,FALSE
"4046557","Hakeem","Adeniji","Hakeem Adeniji","Hakeem Adeniji","H. Adeniji",315,"315 lbs",76,"6' 4""",26,"1997-12-08T08:00Z",5,"74",FALSE
"3126081","Ola","Adeniyi","Ola Adeniyi","Ola Adeniyi","O. Adeniyi",248,"248 lbs",73,"6' 1""",27,"1997-09-12T07:00Z",5,"92",FALSE
"2579634","Aaron","Adeoye","Aaron Adeoye","Aaron Adeoye","A. Adeoye",250,"250 lbs",78,"6' 6""",31,"1993-08-26T07:00Z",NA,"32",FALSE
"3910148","Aaron","Adeoye","Aaron Adeoye","Aaron Adeoye","A. Adeoye",260,"260 lbs",78,"6' 6""",31,"1993-08-26T07:00Z",2,"35",FALSE
"3912029","Tenny","Adewusi","Tenny Adewusi","Tenny Adewusi","T. Adewusi",199,"199 lbs",71,"5' 11""",27,"1997-05-13T07:00Z",NA,"35",FALSE
"9699","Victor","Adeyanju","Victor Adeyanju","Victor Adeyanju","V. Adeyanju",284,"284 lbs",76,"6' 4""",41,"1983-02-11T08:00Z",6,NA,FALSE
"2576600","Kenton","Adeyemi","Kenton Adeyemi","Kenton Adeyemi","K. Adeyemi",267,"267 lbs",76,"6' 4""",32,"1992-01-13T08:00Z",NA,"97",FALSE
"11352","Xavier","Adibi","Xavier Adibi","Xavier Adibi","X. Adibi",242,"242 lbs",74,"6' 2""",40,"1984-10-18T07:00Z",5,"58",FALSE
"2515836","Jude","Adjei-Barimah","Jude Adjei-Barimah","Jude Adjei-Barimah","J. Adjei-Barimah",200,"200 lbs",71,"5' 11""",32,"1992-07-21T07:00Z",3,"38",FALSE
"4383440","Nate","Adkins","Nate Adkins","Nate Adkins","N. Adkins",252,"252 lbs",75,"6' 3""",25,"1999-07-09T07:00Z",2,"45",TRUE
"12628","Spencer","Adkins","Spencer Adkins","Spencer Adkins","S. Adkins",236,"236 lbs",71,"5' 11""",37,"1987-05-16T07:00Z",4,"49",FALSE
"6091","James","Adkisson","James Adkisson","James Adkisson","J. Adkisson",230,"230 lbs",77,"6' 5""",44,"1980-01-11T08:00Z",1,NA,FALSE
"4240719","Cal","Adomitis","Cal Adomitis","Cal Adomitis","C. Adomitis",238,"238 lbs",74,"6' 2""",26,"1998-07-09T07:00Z",3,"48",TRUE
"4031226","Graham","Adomitis","Graham Adomitis","Graham Adomitis","G. Adomitis",255,"255 lbs",76,"6' 4""",NA,NA,NA,"43",FALSE
"16632","Daniel","Adongo","Daniel Adongo","Daniel Adongo","D. Adongo",270,"270 lbs",77,"6' 5""",35,"1989-10-12T07:00Z",2,"56",FALSE
"12629","Al","Afalava","Al Afalava","Al Afalava","A. Afalava",212,"212 lbs",71,"5' 11""",37,"1987-01-20T08:00Z",4,"38",FALSE
"3119152","Patrick","Afriyie","Patrick Afriyie","Patrick Afriyie","P. Afriyie",240,"240 lbs",74,"6' 2""",28,"1996-07-20T07:00Z",1,"96",FALSE
"4243241","Jordan","Agasiva","Jordan Agasiva","Jordan Agasiva","J. Agasiva",320,"320 lbs",75,"6' 3""",27,"1997-05-21T07:00Z",NA,"66",FALSE
"7006","Mel","Agee","Mel Agee","Mel Agee","M. Agee",300,"300 lbs",77,"6' 5""",55,"1968-11-22T08:00Z",4,NA,FALSE
"6503","Tommie","Agee","Tommie Agee","Tommie Agee","T. Agee",235,"235 lbs",72,"6' 0""",60,"1964-02-22T08:00Z",8,NA,FALSE
"4002647","Tanner","Agen","Tanner Agen","Tanner Agen","T. Agen",275,"275 lbs",75,"6' 3""",NA,NA,NA,"0",FALSE
"2971618","Nelson","Agholor","Nelson Agholor","Nelson Agholor","N. Agholor",200,"200 lbs",72,"6' 0""",31,"1993-05-24T07:00Z",10,"15",TRUE
"4035566","McTelvin","Agim","McTelvin Agim","McTelvin Agim","M. Agim",300,"300 lbs",75,"6' 3""",27,"1997-09-25T07:00Z",3,"73",FALSE
"3061612","Jamal","Agnew","Jamal Agnew","Jamal Agnew","J. Agnew",190,"190 lbs",70,"5' 10""",29,"1995-04-03T07:00Z",7,"39",FALSE
"227","Ray","Agnew","Ray Agnew","Ray Agnew","R. Agnew",285,"285 lbs",75,"6' 3""",56,"1967-12-09T08:00Z",NA,"99",FALSE
"17101","Ray","Agnew","Ray Agnew","Ray Agnew","R. Agnew",247,"247 lbs",70,"5' 10""",33,"1991-02-26T08:00Z",2,"48",FALSE
"2470733","Theo","Agnew","Theo Agnew","Theo Agnew","T. Agnew",280,"280 lbs",76,"6' 4""",33,"1991-10-10T07:00Z",NA,"74",FALSE
"14558","Vince","Agnew","Vince Agnew","Vince Agnew","V. Agnew",196,"196 lbs",70,"5' 10""",36,"1987-12-28T08:00Z",1,"34",FALSE
"5144941","David","Agoha","David Agoha","David Agoha","D. Agoha",252,"252 lbs",76,"6' 4""",23,"2001-05-18T07:00Z",1,"55",FALSE
"2978887","Roberto","Aguayo","Roberto Aguayo","Roberto Aguayo","R. Aguayo",207,"207 lbs",72,"6' 0""",30,"1994-05-17T07:00Z",3,"4",FALSE
"4591235","Mitchell","Agude","Mitchell Agude","Mitchell Agude","M. Agude",245,"245 lbs",76,"6' 4""",25,"1999-03-10T08:00Z",1,"50",FALSE
"2982809","Carlton","Agudosi","Carlton Agudosi","Carlton Agudosi","C. Agudosi",220,"220 lbs",78,"6' 6""",30,"1994-02-01T08:00Z",1,"14",FALSE
"228","Louis","Aguiar","Louis Aguiar","Louis Aguiar","L. Aguiar",218,"218 lbs",74,"6' 2""",58,"1966-06-30T07:00Z",10,"10",FALSE
"15184","Devin","Aguilar","Devin Aguilar","Devin Aguilar","D. Aguilar",200,"200 lbs",71,"5' 11""",36,"1988-10-22T07:00Z",NA,"81",FALSE
"10682","C.J.","Ah You","C.J. Ah You","C.J. Ah You","C.J. Ah You",270,"270 lbs",76,"6' 4""",42,"1982-07-07T07:00Z",3,"99",FALSE
"426","Chidi","Ahanotu","Chidi Ahanotu","Chidi Ahanotu","C. Ahanotu",285,"285 lbs",74,"6' 2""",54,"1970-10-11T07:00Z",12,NA,FALSE
"4360131","Holton","Ahlers","Holton Ahlers","Holton Ahlers","H. Ahlers",227,"227 lbs",75,"6' 3""",24,"1999-11-10T08:00Z",NA,"15",FALSE
"4266790","Ramiz","Ahmed","Ramiz Ahmed","Ramiz Ahmed","R. Ahmed",182,"182 lbs",71,"5' 11""",29,"1995-07-27T07:00Z",2,"3",FALSE
"4243315","Salvon","Ahmed","Salvon Ahmed","Salvon Ahmed","S. Ahmed",196,"196 lbs",71,"5' 11""",25,"1998-12-30T08:00Z",5,"36",FALSE
"2976262","Shahbaz","Ahmed","Shahbaz Ahmed","Shahbaz Ahmed","S. Ahmed",303,"303 lbs",74,"6' 2""",30,"1994-06-14T07:00Z",NA,"64",FALSE
"4689551","Junior","Aho","Junior Aho","Junior Aho","J. Aho",272,"272 lbs",76,"6' 4""",25,"1999-02-02T08:00Z",1,"79",FALSE
"3915134","Brady","Aiello","Brady Aiello","Brady Aiello","B. Aiello",311,"311 lbs",79,"6' 7""",27,"1997-07-17T07:00Z",NA,"67",FALSE
"14581","Danny","Aiken","Danny Aiken","Danny Aiken","D. Aiken",255,"255 lbs",76,"6' 4""",36,"1988-08-28T07:00Z",5,"57",FALSE
"14583","Kamar","Aiken","Kamar Aiken","Kamar Aiken","K. Aiken",216,"216 lbs",74,"6' 2""",35,"1989-05-30T07:00Z",6,"81",FALSE
"4585","Sam","Aiken","Sam Aiken","Sam Aiken","S. Aiken",220,"220 lbs",74,"6' 2""",43,"1980-12-14T08:00Z",8,"85",FALSE
"16819","Walt","Aikens","Walt Aikens","Walt Aikens","W. Aikens",200,"200 lbs",73,"6' 1""",33,"1991-06-19T07:00Z",6,"35",FALSE
"53","Troy","Aikman","Troy Aikman","Troy Aikman","T. Aikman",226,"226 lbs",75,"6' 3""",57,"1966-11-21T08:00Z",NA,"8",FALSE
"15392","James","Aiono","James Aiono","James Aiono","J. Aiono",305,"305 lbs",75,"6' 3""",35,"1989-01-23T08:00Z",NA,"68",FALSE
"3672841","Babatunde","Aiyegbusi","Babatunde Aiyegbusi","Babatunde Aiyegbusi","B. Aiyegbusi",345,"345 lbs",81,"6' 9""",36,"1988-05-26T07:00Z",1,"69",FALSE
"14672","Victor","Aiyewa","Victor Aiyewa","Victor Aiyewa","V. Aiyewa",219,"219 lbs",73,"6' 1""",35,"1989-02-04T08:00Z",1,"57",FALSE
"4360438","Brandon","Aiyuk","Brandon Aiyuk","Brandon Aiyuk","B. Aiyuk",200,"200 lbs",72,"6' 0""",26,"1998-03-17T08:00Z",5,"11",FALSE
"2573300","Jay","Ajayi","Jay Ajayi","Jay Ajayi","J. Ajayi",223,"223 lbs",72,"6' 0""",31,"1993-06-15T07:00Z",5,"28",FALSE
"4246885","Solomon","Ajayi","Solomon Ajayi","Solomon Ajayi","S. Ajayi",222,"222 lbs",72,"6' 0""",27,"1997-07-16T07:00Z",NA,"58",FALSE
"4374171","Austin","Ajiake","Austin Ajiake","Austin Ajiake","A. Ajiake",223,"223 lbs",73,"6' 1""",24,"2000-06-30T07:00Z",1,"58",FALSE
"13524","Seyi","Ajirotutu","Seyi Ajirotutu","Seyi Ajirotutu","S. Ajirotutu",215,"215 lbs",75,"6' 3""",37,"1987-06-12T07:00Z",6,"15",FALSE
"2712","Hakim","Akbar","Hakim Akbar","Hakim Akbar","H. Akbar",222,"222 lbs",72,"6' 0""",44,"1980-08-11T07:00Z",3,NA,FALSE
"4240021","Cam","Akers","Cam Akers","Cam Akers","C. Akers",217,"217 lbs",70,"5' 10""",25,"1999-06-22T07:00Z",4,"27",TRUE
"1716","David","Akers","David Akers","David Akers","D. Akers",200,"200 lbs",70,"5' 10""",49,"1974-12-09T08:00Z",16,"2",FALSE
"4035554","Landen","Akers","Landen Akers","Landen Akers","L. Akers",191,"191 lbs",72,"6' 0""",27,"1997-07-07T07:00Z",1,"84",FALSE
"4035835","Alex","Akingbulu","Alex Akingbulu","Alex Akingbulu","A. Akingbulu",300,"300 lbs",77,"6' 5""",26,"1997-12-28T08:00Z",1,"62",FALSE
"3116082","Freedom","Akinmoladun","Freedom Akinmoladun","Freedom Akinmoladun","F. Akinmoladun",286,"286 lbs",75,"6' 3""",28,"1996-02-11T08:00Z",1,"61",FALSE
"16316","C.J.","Akins","C.J. Akins","C.J. Akins","C.J. Akins",200,"200 lbs",73,"6' 1""",33,"1991-05-10T07:00Z",NA,NA,FALSE
"1965","Chris","Akins","Chris Akins","Chris Akins","C. Akins",200,"200 lbs",71,"5' 11""",47,"1976-11-29T08:00Z",6,NA,FALSE
"3139626","Curtis","Akins","Curtis Akins","Curtis Akins","C. Akins",229,"229 lbs",73,"6' 1""",29,"1995-09-28T07:00Z",NA,"55",FALSE
"3128452","Jordan","Akins","Jordan Akins","Jordan Akins","J. Akins",245,"245 lbs",76,"6' 4""",32,"1992-04-19T07:00Z",7,"88",TRUE
"15626","Elvis","Akpla","Elvis Akpla","Elvis Akpla","E. Akpla",190,"190 lbs",73,"6' 1""",35,"1989-01-06T08:00Z",NA,"88",FALSE
"2574087","Derek","Akunne","Derek Akunne","Derek Akunne","D. Akunne",242,"242 lbs",72,"6' 0""",31,"1993-08-17T07:00Z",NA,"44",FALSE
"946","Abdul-Karim","al-Jabbar","Abdul-Karim al-Jabbar","Abdul-Karim al-Jabbar","A. al-Jabbar",205,"205 lbs",71,"5' 11""",50,"1974-06-28T07:00Z",5,"34",FALSE
